snp,single
SNP189,1000189
SNP190,1000190
SNP191,1000191
SNP192,1000192
SNP193,1000193
SNP194,1000194
SNP195,1000195
SNP196,1000196
SNP197,1000197
SNP198,1000198
SNP199,1000199
SNP200,1000200
SNP201,1000201
SNP202,1000202
SNP203,1000203
SNP204,1000204
SNP205,1000205
SNP206,1000206
SNP207,1000207
SNP208,1000208
SNP209,1000209
SNP210,1000210
SNP211,1000211
SNP212,1000212
SNP213,1000213
SNP214,1000214
SNP215,1000215
SNP216,1000216
SNP217,1000217
SNP218,1000218
SNP219,1000219
SNP220,1000220
SNP221,1000221
SNP222,1000222
SNP223,1000223
SNP224,1000224
SNP225,1000225
SNP226,1000226
SNP227,1000227
SNP228,1000228
SNP229,1000229
SNP230,1000230
SNP231,1000231
SNP232,1000232
SNP233,1000233
SNP234,1000234
SNP235,1000235
SNP236,1000236
SNP237,1000237
SNP238,1000238
SNP239,1000239
SNP240,1000240
SNP241,1000241
SNP242,1000242
SNP243,1000243
SNP244,1000244
SNP245,1000245
SNP246,1000246
SNP247,1000247
SNP248,1000248
SNP249,1000249
SNP250,1000250
SNP251,1000251
SNP252,1000252
SNP253,1000253
SNP254,1000254
SNP255,1000255
SNP256,1000256
SNP257,1000257
SNP258,1000258
SNP259,1000259
SNP260,1000260
SNP261,1000261
SNP262,1000262
SNP263,1000263
SNP264,1000264
SNP265,1000265
SNP266,1000266
SNP267,1000267
SNP268,1000268
SNP269,1000269
SNP270,1000270
SNP271,1000271
SNP272,1000272
SNP273,1000273
SNP274,1000274
SNP275,1000275
SNP276,1000276
SNP277,1000277
SNP278,1000278
SNP279,1000279
SNP280,1000280
SNP281,1000281
SNP282,1000282
SNP283,1000283
SNP284,1000284
SNP285,1000285
SNP286,1000286
SNP287,1000287
SNP288,1000288
SNP289,1000289
SNP290,1000290
SNP291,1000291
SNP292,1000292
SNP293,1000293
SNP294,1000294
SNP295,1000295
SNP296,1000296
SNP297,1000297
SNP298,1000298
SNP299,1000299
SNP300,1000300
SNP301,1000301
SNP302,1000302
SNP303,1000303
SNP304,1000304
SNP305,1000305
SNP306,1000306
SNP307,1000307
SNP308,1000308
SNP309,1000309
SNP310,1000310
SNP311,1000311
SNP312,1000312
SNP313,1000313
SNP314,1000314
SNP315,1000315
SNP316,1000316
SNP317,1000317
SNP318,1000318
SNP319,1000319
SNP320,1000320
SNP321,1000321
SNP322,1000322
SNP323,1000323
SNP324,1000324
SNP325,1000325
SNP326,1000326
SNP327,1000327
SNP328,1000328
SNP329,1000329
SNP330,1000330
SNP331,1000331
SNP332,1000332
SNP333,1000333
SNP334,1000334
SNP335,1000335
SNP336,1000336
SNP337,1000337
SNP338,1000338
SNP339,1000339
SNP340,1000340
SNP341,1000341
SNP342,1000342
SNP343,1000343
SNP344,1000344
SNP345,1000345
SNP346,1000346
SNP347,1000347
SNP348,1000348
SNP349,1000349
SNP350,1000350
SNP351,1000351
SNP352,1000352
SNP353,1000353
SNP354,1000354
SNP355,1000355
SNP356,1000356
SNP357,1000357
SNP358,1000358
SNP359,1000359
SNP360,1000360
SNP361,1000361
SNP362,1000362
SNP363,1000363
SNP364,1000364
SNP365,1000365
SNP366,1000366
SNP367,1000367
SNP368,1000368
SNP369,1000369
SNP370,1000370
SNP371,1000371
SNP372,1000372
SNP373,1000373
SNP374,1000374
SNP375,1000375
SNP376,1000376
SNP377,1000377
SNP378,1000378
SNP379,1000379
SNP380,1000380
SNP381,1000381
SNP382,1000382
SNP383,1000383
SNP384,1000384
SNP385,1000385
SNP386,1000386
SNP387,1000387
SNP388,1000388
SNP389,1000389
SNP390,1000390
SNP391,1000391
SNP392,1000392
SNP393,1000393
SNP394,1000394
SNP395,1000395
SNP396,1000396
SNP397,1000397
SNP398,1000398
SNP399,1000399
SNP400,1000400
SNP401,1000401
SNP402,1000402
SNP403,1000403
SNP404,1000404
SNP405,1000405
SNP406,1000406
SNP407,1000407
SNP408,1000408
SNP409,1000409
SNP410,1000410
SNP411,1000411
SNP412,1000412
SNP413,1000413
SNP414,1000414
SNP415,1000415
SNP416,1000416
SNP417,1000417
SNP418,1000418
SNP419,1000419
SNP420,1000420
SNP421,1000421
SNP422,1000422
SNP423,1000423
SNP424,1000424
SNP425,1000425
SNP426,1000426
SNP427,1000427
SNP428,1000428
SNP429,1000429
SNP430,1000430
SNP431,1000431
SNP432,1000432
SNP433,1000433
SNP434,1000434
SNP435,1000435
SNP436,1000436
SNP437,1000437
SNP438,1000438
SNP439,1000439
SNP440,1000440
SNP441,1000441
SNP442,1000442
SNP443,1000443
SNP444,1000444
SNP445,1000445
SNP446,1000446
SNP447,1000447
SNP448,1000448
SNP449,1000449
SNP450,1000450
SNP451,1000451
SNP452,1000452
SNP453,1000453
SNP454,1000454
SNP455,1000455
SNP456,1000456
SNP457,1000457
SNP458,1000458
SNP459,1000459
SNP460,1000460
SNP461,1000461
SNP462,1000462
SNP463,1000463
SNP464,1000464
SNP465,1000465
SNP466,1000466
SNP467,1000467
SNP468,1000468
SNP469,1000469
SNP470,1000470
SNP471,1000471
SNP472,1000472
SNP473,1000473
SNP474,1000474
SNP475,1000475
SNP476,1000476
SNP477,1000477
SNP478,1000478
SNP479,1000479
SNP480,1000480
SNP481,1000481
SNP482,1000482
SNP483,1000483
SNP484,1000484
SNP485,1000485
SNP486,1000486
SNP487,1000487
SNP488,1000488
SNP489,1000489
SNP490,1000490
SNP491,1000491
SNP492,1000492
SNP493,1000493
SNP494,1000494
SNP495,1000495
SNP496,1000496
SNP497,1000497
SNP498,1000498
SNP499,1000499
SNP500,1000500
SNP501,1000501
SNP502,1000502
SNP503,1000503
SNP504,1000504
SNP505,1000505
SNP506,1000506
SNP507,1000507
SNP508,1000508
SNP509,1000509
SNP510,1000510
SNP511,1000511
SNP512,1000512
SNP513,1000513
SNP514,1000514
SNP515,1000515
SNP516,1000516
SNP517,1000517
SNP518,1000518
SNP519,1000519
SNP520,1000520
SNP521,1000521
SNP522,1000522
SNP523,1000523
SNP524,1000524
SNP525,1000525
SNP526,1000526
SNP527,1000527
SNP528,1000528
SNP529,1000529
SNP530,1000530
SNP531,1000531
SNP532,1000532
SNP533,1000533
SNP534,1000534
SNP535,1000535
SNP536,1000536
SNP537,1000537
SNP538,1000538
SNP539,1000539
SNP540,1000540
SNP541,1000541
SNP542,1000542
SNP543,1000543
SNP544,1000544
SNP545,1000545
SNP546,1000546
SNP547,1000547
SNP548,1000548
SNP549,1000549
SNP550,1000550
SNP551,1000551
SNP552,1000552
SNP553,1000553
SNP554,1000554
SNP555,1000555
SNP556,1000556
SNP557,1000557
SNP558,1000558
SNP559,1000559
SNP560,1000560
SNP561,1000561
SNP562,1000562
SNP563,1000563
SNP564,1000564
SNP565,1000565
SNP566,1000566
SNP567,1000567
SNP568,1000568
SNP569,1000569
SNP570,1000570
SNP571,1000571
SNP572,1000572
SNP573,1000573
SNP574,1000574
SNP575,1000575
SNP576,1000576
SNP577,1000577
SNP578,1000578
SNP579,1000579
SNP580,1000580
SNP581,1000581
SNP582,1000582
SNP583,1000583
SNP584,1000584
SNP585,1000585
SNP586,1000586
SNP587,1000587
SNP588,1000588
SNP589,1000589
SNP590,1000590
SNP591,1000591
SNP592,1000592
SNP593,1000593
SNP594,1000594
SNP595,1000595
SNP596,1000596
SNP597,1000597
SNP598,1000598
SNP599,1000599
SNP600,1000600
SNP601,1000601
SNP602,1000602
SNP603,1000603
SNP604,1000604
SNP605,1000605
SNP606,1000606
SNP607,1000607
SNP608,1000608
SNP609,1000609
SNP610,1000610
SNP611,1000611
SNP612,1000612
SNP613,1000613
SNP614,1000614
SNP615,1000615
SNP616,1000616
SNP617,1000617
SNP618,1000618
SNP619,1000619
SNP620,1000620
SNP621,1000621
SNP622,1000622
SNP623,1000623
SNP624,1000624
SNP625,1000625
SNP626,1000626
SNP627,1000627
SNP628,1000628
SNP629,1000629
SNP630,1000630
SNP631,1000631
SNP632,1000632
SNP633,1000633
SNP634,1000634
SNP635,1000635
SNP636,1000636
SNP637,1000637
SNP638,1000638
SNP639,1000639
SNP640,1000640
SNP641,1000641
SNP642,1000642
SNP643,1000643
SNP644,1000644
SNP645,1000645
SNP646,1000646
SNP647,1000647
SNP648,1000648
SNP649,1000649
SNP650,1000650
SNP651,1000651
SNP652,1000652
SNP653,1000653
SNP654,1000654
SNP655,1000655
SNP656,1000656
SNP657,1000657
SNP658,1000658
SNP659,1000659
SNP660,1000660
SNP661,1000661
SNP662,1000662
SNP663,1000663
SNP664,1000664
SNP665,1000665
SNP666,1000666
SNP667,1000667
SNP668,1000668
SNP669,1000669
SNP670,1000670
SNP671,1000671
SNP672,1000672
SNP673,1000673
SNP674,1000674
SNP675,1000675
SNP676,1000676
SNP677,1000677
SNP678,1000678
SNP679,1000679
SNP680,1000680
SNP681,1000681
SNP682,1000682
SNP683,1000683
SNP684,1000684
SNP685,1000685
SNP686,1000686
SNP687,1000687
SNP688,1000688
SNP689,1000689
SNP690,1000690
SNP691,1000691
SNP692,1000692
SNP693,1000693
SNP694,1000694
SNP695,1000695
SNP696,1000696
SNP697,1000697
SNP698,1000698
SNP699,1000699
SNP700,1000700
SNP701,1000701
SNP702,1000702
SNP703,1000703
SNP704,1000704
SNP705,1000705
SNP706,1000706
SNP707,1000707
SNP708,1000708
SNP709,1000709
SNP710,1000710
SNP711,1000711
SNP712,1000712
SNP713,1000713
SNP714,1000714
SNP715,1000715
SNP716,1000716
SNP717,1000717
SNP718,1000718
SNP719,1000719
SNP720,1000720
SNP721,1000721
SNP722,1000722
SNP723,1000723
SNP724,1000724
SNP725,1000725
SNP726,1000726
SNP727,1000727
SNP728,1000728
SNP729,1000729
SNP730,1000730
SNP731,1000731
SNP732,1000732
SNP733,1000733
SNP734,1000734
SNP735,1000735
SNP736,1000736
SNP737,1000737
SNP738,1000738
SNP739,1000739
SNP740,1000740
SNP741,1000741
SNP742,1000742
SNP743,1000743
SNP744,1000744
SNP745,1000745
SNP746,1000746
SNP747,1000747
SNP748,1000748
SNP749,1000749
SNP750,1000750
SNP751,1000751
SNP752,1000752
SNP753,1000753
SNP754,1000754
SNP755,1000755
SNP756,1000756
SNP757,1000757
SNP758,1000758
SNP759,1000759
SNP760,1000760
SNP761,1000761
SNP762,1000762
SNP763,1000763
SNP764,1000764
SNP765,1000765
SNP766,1000766
SNP767,1000767
SNP768,1000768
SNP769,1000769
SNP770,1000770
SNP771,1000771
SNP772,1000772
SNP773,1000773
SNP774,1000774
SNP775,1000775
SNP776,1000776
SNP777,1000777
SNP778,1000778
SNP779,1000779
SNP780,1000780
SNP781,1000781
SNP782,1000782
SNP783,1000783
SNP784,1000784
SNP785,1000785
SNP786,1000786
SNP787,1000787
SNP788,1000788
SNP789,1000789
SNP790,1000790
SNP791,1000791
SNP792,1000792
SNP793,1000793
SNP794,1000794
SNP795,1000795
SNP796,1000796
SNP797,1000797
SNP798,1000798
SNP799,1000799
SNP800,1000800
SNP801,1000801
SNP802,1000802
SNP803,1000803
SNP804,1000804
SNP805,1000805
SNP806,1000806
SNP807,1000807
SNP808,1000808
SNP809,1000809
SNP810,1000810
SNP811,1000811
SNP812,1000812
SNP813,1000813
SNP814,1000814
SNP815,1000815
SNP816,1000816
SNP817,1000817
SNP818,1000818
SNP819,1000819
SNP820,1000820
SNP821,1000821
SNP822,1000822
SNP823,1000823
SNP824,1000824
SNP825,1000825
SNP826,1000826
SNP827,1000827
SNP828,1000828
SNP829,1000829
SNP830,1000830
SNP831,1000831
SNP832,1000832
SNP833,1000833
SNP834,1000834
SNP835,1000835
SNP836,1000836
SNP837,1000837
SNP838,1000838
SNP839,1000839
SNP840,1000840
SNP841,1000841
SNP842,1000842
SNP843,1000843
SNP844,1000844
SNP845,1000845
SNP846,1000846
SNP847,1000847
SNP848,1000848
SNP849,1000849
SNP850,1000850
SNP851,1000851
SNP852,1000852
SNP853,1000853
SNP854,1000854
SNP855,1000855
SNP856,1000856
SNP857,1000857
SNP858,1000858
SNP859,1000859
SNP860,1000860
SNP861,1000861
SNP862,1000862
SNP863,1000863
SNP864,1000864
SNP865,1000865
SNP866,1000866
SNP867,1000867
SNP868,1000868
SNP869,1000869
SNP870,1000870
SNP871,1000871
SNP872,1000872
SNP873,1000873
SNP874,1000874
SNP875,1000875
SNP876,1000876
SNP877,1000877
SNP878,1000878
SNP879,1000879
SNP880,1000880
SNP881,1000881
SNP882,1000882
SNP883,1000883
SNP884,1000884
SNP885,1000885
SNP886,1000886
SNP887,1000887
SNP888,1000888
SNP889,1000889
SNP890,1000890
SNP891,1000891
SNP892,1000892
SNP893,1000893
SNP894,1000894
SNP895,1000895
SNP896,1000896
SNP897,1000897
SNP898,1000898
SNP899,1000899
SNP900,1000900
SNP901,1000901
SNP902,1000902
SNP903,1000903
SNP904,1000904
SNP905,1000905
SNP906,1000906
SNP907,1000907
SNP908,1000908
SNP909,1000909
SNP910,1000910
SNP911,1000911
SNP912,1000912
SNP913,1000913
SNP914,1000914
SNP915,1000915
SNP916,1000916
SNP917,1000917
SNP918,1000918
SNP919,1000919
SNP920,1000920
SNP921,1000921
SNP922,1000922
SNP923,1000923
SNP924,1000924
SNP925,1000925
SNP926,1000926
SNP927,1000927
SNP928,1000928
SNP929,1000929
SNP930,1000930
SNP931,1000931
SNP932,1000932
SNP933,1000933
SNP934,1000934
SNP935,1000935
SNP936,1000936
SNP937,1000937
SNP938,1000938
SNP939,1000939
SNP940,1000940
SNP941,1000941
SNP942,1000942
SNP943,1000943
SNP944,1000944
SNP945,1000945
SNP946,1000946
SNP947,1000947
SNP948,1000948
SNP949,1000949
SNP950,1000950
SNP951,1000951
SNP952,1000952
SNP953,1000953
SNP954,1000954
SNP955,1000955
SNP956,1000956
SNP957,1000957
SNP958,1000958
SNP959,1000959
SNP960,1000960
SNP961,1000961
SNP962,1000962
SNP963,1000963
SNP964,1000964
SNP965,1000965
SNP966,1000966
SNP967,1000967
SNP968,1000968
SNP969,1000969
SNP970,1000970
SNP971,1000971
SNP972,1000972
SNP973,1000973
SNP974,1000974
SNP975,1000975
SNP976,1000976
SNP977,1000977
SNP978,1000978
SNP979,1000979
SNP980,1000980
SNP981,1000981
SNP982,1000982
SNP983,1000983
SNP984,1000984
SNP985,1000985
SNP986,1000986
SNP987,1000987
SNP988,1000988
SNP989,1000989
SNP990,1000990
SNP991,1000991
SNP992,1000992
SNP993,1000993
SNP994,1000994
SNP995,1000995
SNP996,1000996
SNP997,1000997
SNP998,1000998
SNP999,1000999
SNP1000,1001000
SNP1001,1001001
SNP1002,1001002
SNP1003,1001003
SNP1004,1001004
SNP1005,1001005
SNP1006,1001006
SNP1007,1001007
SNP1008,1001008
SNP1009,1001009
SNP1010,1001010
SNP1011,1001011
SNP1012,1001012
SNP1013,1001013
SNP1014,1001014
SNP1015,1001015
SNP1016,1001016
SNP1017,1001017
SNP1018,1001018
SNP1019,1001019
SNP1020,1001020
SNP1021,1001021
SNP1022,1001022
SNP1023,1001023
SNP1024,1001024
SNP1025,1001025
SNP1026,1001026
SNP1027,1001027
SNP1028,1001028
SNP1029,1001029
SNP1030,1001030
SNP1031,1001031
SNP1032,1001032
SNP1033,1001033
SNP1034,1001034
SNP1035,1001035
SNP1036,1001036
SNP1037,1001037
SNP1038,1001038
SNP1039,1001039
SNP1040,1001040
SNP1041,1001041
SNP1042,1001042
SNP1043,1001043
SNP1044,1001044
SNP1045,1001045
SNP1046,1001046
SNP1047,1001047
SNP1048,1001048
SNP1049,1001049
SNP1050,1001050
SNP1051,1001051
SNP1052,1001052
SNP1053,1001053
SNP1054,1001054
SNP1055,1001055
SNP1056,1001056
SNP1057,1001057
SNP1058,1001058
SNP1059,1001059
SNP1060,1001060
SNP1061,1001061
SNP1062,1001062
SNP1063,1001063
SNP1064,1001064
SNP1065,1001065
SNP1066,1001066
SNP1067,1001067
SNP1068,1001068
SNP1069,1001069
SNP1070,1001070
SNP1071,1001071
SNP1072,1001072
SNP1073,1001073
SNP1074,1001074
SNP1075,1001075
SNP1076,1001076
SNP1077,1001077
SNP1078,1001078
SNP1079,1001079
SNP1080,1001080
SNP1081,1001081
SNP1082,1001082
SNP1083,1001083
SNP1084,1001084
SNP1085,1001085
SNP1086,1001086
SNP1087,1001087
SNP1088,1001088
SNP1089,1001089
SNP1090,1001090
SNP1091,1001091
SNP1092,1001092
SNP1093,1001093
SNP1094,1001094
SNP1095,1001095
SNP1096,1001096
SNP1097,1001097
SNP1098,1001098
SNP1099,1001099
SNP1100,1001100
SNP1101,1001101
SNP1102,1001102
SNP1103,1001103
SNP1104,1001104
SNP1105,1001105
SNP1106,1001106
SNP1107,1001107
SNP1108,1001108
SNP1109,1001109
SNP1110,1001110
SNP1111,1001111
SNP1112,1001112
SNP1113,1001113
SNP1114,1001114
SNP1115,1001115
SNP1116,1001116
SNP1117,1001117
SNP1118,1001118
SNP1119,1001119
SNP1120,1001120
SNP1121,1001121
SNP1122,1001122
SNP1123,1001123
SNP1124,1001124
SNP1125,1001125
SNP1126,1001126
SNP1127,1001127
SNP1128,1001128
SNP1129,1001129
SNP1130,1001130
SNP1131,1001131
SNP1132,1001132
SNP1133,1001133
SNP1134,1001134
SNP1135,1001135
SNP1136,1001136
SNP1137,1001137
SNP1138,1001138
SNP1139,1001139
SNP1140,1001140
SNP1141,1001141
SNP1142,1001142
SNP1143,1001143
SNP1144,1001144
SNP1145,1001145
SNP1146,1001146
SNP1147,1001147
SNP1148,1001148
SNP1149,1001149
SNP1150,1001150
SNP1151,1001151
SNP1152,1001152
SNP1153,1001153
SNP1154,1001154
SNP1155,1001155
SNP1156,1001156
SNP1157,1001157
SNP1158,1001158
SNP1159,1001159
SNP1160,1001160
SNP1161,1001161
SNP1162,1001162
SNP1163,1001163
SNP1164,1001164
SNP1165,1001165
SNP1166,1001166
SNP1167,1001167
SNP1168,1001168
SNP1169,1001169
SNP1170,1001170
SNP1171,1001171
SNP1172,1001172
SNP1173,1001173
SNP1174,1001174
SNP1175,1001175
SNP1176,1001176
SNP1177,1001177
SNP1178,1001178
SNP1179,1001179
SNP1180,1001180
SNP1181,1001181
SNP1182,1001182
SNP1183,1001183
SNP1184,1001184
SNP1185,1001185
SNP1186,1001186
SNP1187,1001187
SNP1188,1001188
SNP1189,1001189
SNP1190,1001190
SNP1191,1001191
SNP1192,1001192
SNP1193,1001193
SNP1194,1001194
SNP1195,1001195
SNP1196,1001196
SNP1197,1001197
SNP1198,1001198
SNP1199,1001199
SNP1200,1001200
SNP1201,1001201
SNP1202,1001202
SNP1203,1001203
SNP1204,1001204
SNP1205,1001205
SNP1206,1001206
SNP1207,1001207
SNP1208,1001208
SNP1209,1001209
SNP1210,1001210
SNP1211,1001211
SNP1212,1001212
SNP1213,1001213
SNP1214,1001214
SNP1215,1001215
SNP1216,1001216
SNP1217,1001217
SNP1218,1001218
SNP1219,1001219
SNP1220,1001220
SNP1221,1001221
SNP1222,1001222
SNP1223,1001223
SNP1224,1001224
SNP1225,1001225
SNP1226,1001226
SNP1227,1001227
SNP1228,1001228
SNP1229,1001229
SNP1230,1001230
SNP1231,1001231
SNP1232,1001232
SNP1233,1001233
SNP1234,1001234
SNP1235,1001235
SNP1236,1001236
SNP1237,1001237
SNP1238,1001238
SNP1239,1001239
SNP1240,1001240
SNP1241,1001241
SNP1242,1001242
SNP1243,1001243
SNP1244,1001244
SNP1245,1001245
SNP1246,1001246
SNP1247,1001247
SNP1248,1001248
SNP1249,1001249
SNP1250,1001250
SNP1251,1001251
SNP1252,1001252
SNP1253,1001253
SNP1254,1001254
SNP1255,1001255
SNP1256,1001256
SNP1257,1001257
SNP1258,1001258
SNP1259,1001259
SNP1260,1001260
SNP1261,1001261
SNP1262,1001262
SNP1263,1001263
SNP1264,1001264
SNP1265,1001265
SNP1266,1001266
SNP1267,1001267
SNP1268,1001268
SNP1269,1001269
SNP1270,1001270
SNP1271,1001271
SNP1272,1001272
SNP1273,1001273
SNP1274,1001274
SNP1275,1001275
SNP1276,1001276
SNP1277,1001277
SNP1278,1001278
SNP1279,1001279
SNP1280,1001280
SNP1281,1001281
SNP1282,1001282
SNP1283,1001283
SNP1284,1001284
SNP1285,1001285
SNP1286,1001286
SNP1287,1001287
SNP1288,1001288
SNP1289,1001289
SNP1290,1001290
SNP1291,1001291
SNP1292,1001292
SNP1293,1001293
SNP1294,1001294
SNP1295,1001295
SNP1296,1001296
SNP1297,1001297
SNP1298,1001298
SNP1299,1001299
SNP1300,1001300
SNP1301,1001301
SNP1302,1001302
SNP1303,1001303
SNP1304,1001304
SNP1305,1001305
SNP1306,1001306
SNP1307,1001307
SNP1308,1001308
SNP1309,1001309
SNP1310,1001310
SNP1311,1001311
SNP1312,1001312
SNP1313,1001313
SNP1314,1001314
SNP1315,1001315
SNP1316,1001316
SNP1317,1001317
SNP1318,1001318
SNP1319,1001319
SNP1320,1001320
SNP1321,1001321
SNP1322,1001322
SNP1323,1001323
SNP1324,1001324
SNP1325,1001325
SNP1326,1001326
SNP1327,1001327
SNP1328,1001328
SNP1329,1001329
SNP1330,1001330
SNP1331,1001331
SNP1332,1001332
SNP1333,1001333
SNP1334,1001334
SNP1335,1001335
SNP1336,1001336
SNP1337,1001337
SNP1338,1001338
SNP1339,1001339
SNP1340,1001340
SNP1341,1001341
SNP1342,1001342
SNP1343,1001343
SNP1344,1001344
SNP1345,1001345
SNP1346,1001346
SNP1347,1001347
SNP1348,1001348
SNP1349,1001349
SNP1350,1001350
SNP1351,1001351
SNP1352,1001352
SNP1353,1001353
SNP1354,1001354
SNP1355,1001355
SNP1356,1001356
SNP1357,1001357
SNP1358,1001358
SNP1359,1001359
SNP1360,1001360
SNP1361,1001361
SNP1362,1001362
SNP1363,1001363
SNP1364,1001364
SNP1365,1001365
SNP1366,1001366
SNP1367,1001367
SNP1368,1001368
SNP1369,1001369
SNP1370,1001370
SNP1371,1001371
SNP1372,1001372
SNP1373,1001373
SNP1374,1001374
SNP1375,1001375
SNP1376,1001376
SNP1377,1001377
SNP1378,1001378
SNP1379,1001379
SNP1380,1001380
SNP1381,1001381
SNP1382,1001382
SNP1383,1001383
SNP1384,1001384
SNP1385,1001385
SNP1386,1001386
SNP1387,1001387
SNP1388,1001388
SNP1389,1001389
SNP1390,1001390
SNP1391,1001391
SNP1392,1001392
SNP1393,1001393
SNP1394,1001394
SNP1395,1001395
SNP1396,1001396
SNP1397,1001397
SNP1398,1001398
SNP1399,1001399
SNP1400,1001400
SNP1401,1001401
SNP1402,1001402
SNP1403,1001403
SNP1404,1001404
SNP1405,1001405
SNP1406,1001406
SNP1407,1001407
SNP1408,1001408
SNP1409,1001409
SNP1410,1001410
SNP1411,1001411
SNP1412,1001412
SNP1413,1001413
SNP1414,1001414
SNP1415,1001415
SNP1416,1001416
SNP1417,1001417
SNP1418,1001418
SNP1419,1001419
SNP1420,1001420
SNP1421,1001421
SNP1422,1001422
SNP1423,1001423
SNP1424,1001424
SNP1425,1001425
SNP1426,1001426
SNP1427,1001427
SNP1428,1001428
SNP1429,1001429
SNP1430,1001430
SNP1431,1001431
SNP1432,1001432
SNP1433,1001433
SNP1434,1001434
SNP1435,1001435
SNP1436,1001436
SNP1437,1001437
SNP1438,1001438
SNP1439,1001439
SNP1440,1001440
SNP1441,1001441
SNP1442,1001442
SNP1443,1001443
SNP1444,1001444
SNP1445,1001445
SNP1446,1001446
SNP1447,1001447
SNP1448,1001448
SNP1449,1001449
SNP1450,1001450
SNP1451,1001451
SNP1452,1001452
SNP1453,1001453
SNP1454,1001454
SNP1455,1001455
SNP1456,1001456
SNP1457,1001457
SNP1458,1001458
SNP1459,1001459
SNP1460,1001460
SNP1461,1001461
SNP1462,1001462
SNP1463,1001463
SNP1464,1001464
SNP1465,1001465
SNP1466,1001466
SNP1467,1001467
SNP1468,1001468
SNP1469,1001469
SNP1470,1001470
SNP1471,1001471
SNP1472,1001472
SNP1473,1001473
SNP1474,1001474
SNP1475,1001475
SNP1476,1001476
SNP1477,1001477
SNP1478,1001478
SNP1479,1001479
SNP1480,1001480
SNP1481,1001481
SNP1482,1001482
SNP1483,1001483
SNP1484,1001484
SNP1485,1001485
SNP1486,1001486
SNP1487,1001487
SNP1488,1001488
SNP1489,1001489
SNP1490,1001490
SNP1491,1001491
SNP1492,1001492
SNP1493,1001493
SNP1494,1001494
SNP1495,1001495
SNP1496,1001496
SNP1497,1001497
SNP1498,1001498
